# Ростер RUnion @ Icecrown — по одному персонажу на строку.
# Формат:  Имя | Класс   (класс нужен только для иконки, можно не указывать)
# Строки с # и пустые игнорируются. Регистр имени — как на Warmane/UwU.

Anatolevich | Warrior
Noele | Paladin
Treeville | Druid
Vikhorkova | Druid
Springfield | Druid
Flameville | Mage
Screamsoda | Paladin
Superflower | Shaman
Wabikusa | Rogue
Tessaviolet | Paladin
Webcamshica | Warlock
Sanspeur | Druid
Pivo | Warrior
Gladvalakas | Paladin
Abom | Death Knight
Dashabukina | Paladin
Korben | Death Knight
Roseville | Rogue
Zorg | Death Knight
Iecel | Hunter
Iesel | Rogue
Intolerance | Warrior
Ankama | Paladin
Terpila | Druid
Cybersex | Hunter
Korbendallas | Warrior
Bojz | Paladin
Bojw | Warrior
Bojp | Paladin
Bojh | Hunter
Bojpr | Priest
Bojsh | Shaman
Bojm | Mage
Bojl | Warlock
Bojd | Druid
Incomplete | Warlock
Leeloodallas | Shaman
Fakethunder | Priest
Takemenow | Death Knight
Webcammodel | Rogue
Izymka | Death Knight
Lysayakeglya | Paladin
Sonio | Warrior
Antonio | Mage
Baltika | Druid
Wannabeslut | Paladin
Tessa | Paladin
Shulker | Paladin
Cake | Priest
Yoursoulmate | Mage
Xviter | Death Knight
Bojwx | Warrior
Bojhx | Hunter
Bojrx | Rogue
Insomnuya | Priest
Nulachoice | Paladin
Abrams | Paladin
Nulasubject | Warrior
Hepycb | Paladin
Senjor | Druid
Mamochka | Paladin
Krymskoepivo | Death Knight
Gniida | Shaman
Huesos | Druid
Gotou | Hunter
Dave | Paladin

# --- Добавлены из Armory (все участники), 2026-07-04 ---
Agrospirit | Death Knight
Akulina | Paladin
Alaindelon | Mage
Alakaz | Shaman
Alanga | Mage
Alexandr | Death Knight
Alihanstvol | Shaman
Amaisole | Paladin
Anabiose | Hunter
Animiya | Rogue
Antil | Priest
Antistetic | Paladin
Antivoodoo | Druid
Apakalypsis | Death Knight
Aquaburst | Paladin
Areadna | Hunter
Arhangiel | Priest
Asensio | Rogue
Asveyg | Mage
Barobebito | Rogue
Belazwar | Warrior
Bersa | Druid
Bestarms | Warrior
Besyatina | Druid
Billysmile | Rogue
Blatosfera | Warrior
Bombmarley | Druid
Boomcast | Druid
Bosota | Paladin
Brunobanano | Shaman
Bunnylover | Priest
Buntarka | Paladin
Calantadze | Warrior
Camrysorok | Paladin
Candledeep | Death Knight
Candlekeep | Paladin
Chelibomber | Hunter
Chlou | Warlock
Cleavehanger | Warrior
Cocs | Druid
Crawlesqt | Hunter
Crawlesx | Hunter
Craws | Warlock
Crawsxd | Warrior
Crawsxt | Priest
Crownles | Paladin
Crowsly | Rogue
Cryptocom | Druid
Cybersonya | Priest
Cykablyad | Shaman
Datpimp | Warrior
Deadlyenemy | Paladin
